#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.40.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	408.9	NA	NA	NA	5.73	11.1896802948487	Slightly Acidic	Low	freshwater wetland	soil	2.5524	5.8500000000000003E-2	2.611	34.94392465	ug N/g dry soil	0.23334	Low-Wetlands
10156.47.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	558	NA	NA	NA	5.06	13.3801380837242	Slightly Acidic	Low	freshwater wetland	soil	4.5157999999999996	7.7600000000000002E-2	4.593	28.28710452	ug N/g dry soil	0.34327	Low-Wetlands
10156.48.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	424.3	NA	NA	NA	7.96	19.2569269521411	Slightly Basic	Low	freshwater wetland	soil	0.4884	1.0407999999999999	1.529	1.0170804120000001	ug N/g dry soil	0.0794	Low-Wetlands
10156.49.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	425.7	NA	NA	NA	7.01	11.9904108153427	Neutral	Low	freshwater wetland	soil	8.9954000000000001	0.15759999999999999	9.153	18.827017120000001	ug N/g dry soil	0.76336	Low-Wetlands
10156.4B1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.54	14.4937875274954	Moderately Acidic	Low	freshwater wetland	soil	2.4026000000000001	3.5799999999999998E-2	2.438	7.8839393849999997	ug N/g dry soil	0.16821	Low-Wetlands
10156.4B2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	5.01	15.6790601600826	Slightly Acidic	Low	freshwater wetland	soil	2.3891	3.9800000000000002E-2	2.429	3.5650347039999999	ug N/g dry soil	0.15492	Low-Wetlands
10156.4B5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	387	NA	NA	NA	4.64	15.3176418505128	Moderately Acidic	Low	freshwater wetland	soil	2.0476000000000001	2.8299999999999999E-2	2.076	4.1377983010000001	ug N/g dry soil	0.13553	Low-Wetlands
10156.5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	406	NA	NA	NA	5.84	10.9392171781216	Slightly Acidic	Low	freshwater wetland	soil	1.2638	2.9700000000000001E-2	1.294	20.6478921	ug N/g dry soil	0.11829	Low-Wetlands
10156.50.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	428.9	NA	NA	NA	6.07	14.2991629137725	Slightly Acidic	Low	freshwater wetland	soil	5.5395000000000003	8.0500000000000002E-2	5.62	86.326978920000002	ug N/g dry soil	0.39303	Low-Wetlands
10156.52.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	386	NA	NA	NA	7.68	12.4228395061728	Slightly Basic	Low	freshwater wetland	soil	1.1382000000000001	0.79420000000000002	1.932	11.53839533	ug N/g dry soil	0.15552	Low-Wetlands
